task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
239	a0/45ad9d	2491814	NFCORE_NANOPOREMETABARCODING:NANOPOREMETABARCODING:SEQKIT_AMPLICONS (LuthienR_Tab54_BerenF_Tab22_test)	COMPLETED	0	2025-06-15 23:41:55.547	16m 25s	1s	38.5%	1.5 MB	22.8 MB	106.8 KB	1.4 KB
241	bc/f8b92d	2491816	NFCORE_NANOPOREMETABARCODING:NANOPOREMETABARCODING:SEQKIT_AMPLICONS (LuthienR_Tab54_BerenF_Tab22_test)	COMPLETED	0	2025-06-15 23:41:55.730	16m 25s	1s	103.3%	1.5 MB	22.8 MB	103.1 KB	978 B
236	5a/703e1a	2491817	NFCORE_NANOPOREMETABARCODING:NANOPOREMETABARCODING:SEQKIT_CONSENSUS (LuthienR_Tab54_BerenF_Tab22_test)	COMPLETED	0	2025-06-15 23:41:55.815	16m 25s	1s	33.2%	1.5 MB	22.8 MB	137 KB	634 B
238	6c/ecdd02	2491818	NFCORE_NANOPOREMETABARCODING:NANOPOREMETABARCODING:SEQKIT_CONSENSUS (LuthienR_Tab54_BerenF_Tab22_test)	COMPLETED	0	2025-06-15 23:41:55.913	16m 25s	1s	31.7%	1.5 MB	22.8 MB	106.8 KB	634 B
247	33/a20db6	2491842	NFCORE_NANOPOREMETABARCODING:NANOPOREMETABARCODING:SEQKIT_AMPLICONS (LuthienR_Tab29_BerenF_Tab47_test)	COMPLETED	0	2025-06-15 23:42:55.605	15m 25s	0ms	90.4%	1.5 MB	22.8 MB	114.5 KB	2.7 KB
237	80/7958f6	2491819	NFCORE_NANOPOREMETABARCODING:NANOPOREMETABARCODING:SEQKIT_AMPLICONS (LuthienR_Tab54_BerenF_Tab22_test)	COMPLETED	0	2025-06-15 23:41:55.999	16m 25s	1s	29.5%	1.5 MB	22.8 MB	137 KB	5.5 KB
246	ff/c81c82	2491843	NFCORE_NANOPOREMETABARCODING:NANOPOREMETABARCODING:SEQKIT_CONSENSUS (LuthienR_Tab29_BerenF_Tab47_test)	COMPLETED	0	2025-06-15 23:42:55.705	15m 25s	1s	100.5%	1.5 MB	22.8 MB	114.5 KB	638 B
242	c0/248560	2491845	NFCORE_NANOPOREMETABARCODING:NANOPOREMETABARCODING:SEQKIT_AMPLICONS (LuthienR_Tab31_BerenF_Tab24_test)	COMPLETED	0	2025-06-15 23:42:55.888	15m 25s	1s	87.7%	1.5 MB	22.8 MB	129.1 KB	4.4 KB
248	5b/7756bd	2491846	NFCORE_NANOPOREMETABARCODING:NANOPOREMETABARCODING:SEQKIT_AMPLICONS (LuthienR_Tab29_BerenF_Tab47_test)	COMPLETED	0	2025-06-15 23:43:00.512	15m 20s	1s	90.4%	1.5 MB	22.8 MB	153.9 KB	9.2 KB
244	1e/51c480	2491860	NFCORE_NANOPOREMETABARCODING:NANOPOREMETABARCODING:SEQKIT_CONSENSUS (LuthienR_Tab29_BerenF_Tab47_test)	COMPLETED	0	2025-06-15 23:45:10.571	13m 10s	0ms	90.4%	1.5 MB	22.8 MB	209.7 KB	639 B
253	3b/77d084	2491863	NFCORE_NANOPOREMETABARCODING:NANOPOREMETABARCODING:SEQKIT_CONSENSUS (LuthienR_Tab29_BerenF_Tab24_test)	COMPLETED	0	2025-06-15 23:45:20.521	13m	0ms	102.2%	1.5 MB	22.8 MB	143 KB	675 B
255	00/3dce67	2491869	NFCORE_NANOPOREMETABARCODING:NANOPOREMETABARCODING:SEQKIT_AMPLICONS (LuthienR_Tab56_BerenF_Tab22_test)	COMPLETED	0	2025-06-15 23:46:20.735	12m	0ms	85.4%	1.5 MB	22.8 MB	110.4 KB	2 KB
263	72/cdc0b1	2491870	NFCORE_NANOPOREMETABARCODING:NANOPOREMETABARCODING:SEQKIT_CONSENSUS (LuthienR_Tab39_BerenF_Tab22_test)	COMPLETED	0	2025-06-15 23:46:25.945	11m 55s	0ms	94.5%	1.5 MB	22.8 MB	105.8 KB	640 B
260	96/325cf5	2491872	NFCORE_NANOPOREMETABARCODING:NANOPOREMETABARCODING:SEQKIT_AMPLICONS (LuthienR_Tab39_BerenF_Tab22_test)	COMPLETED	0	2025-06-15 23:46:35.544	11m 45s	0ms	90.7%	1.5 MB	22.8 MB	109.7 KB	1.8 KB
256	4b/b26bd4	2491866	NFCORE_NANOPOREMETABARCODING:NANOPOREMETABARCODING:SEQKIT_CONSENSUS (LuthienR_Tab56_BerenF_Tab22_test)	COMPLETED	0	2025-06-15 23:45:40.669	12m 50s	0ms	80.6%	1.5 MB	22.8 MB	117 KB	640 B
261	71/eca6e8	2491878	NFCORE_NANOPOREMETABARCODING:NANOPOREMETABARCODING:SEQKIT_CONSENSUS (LuthienR_Tab39_BerenF_Tab22_test)	COMPLETED	0	2025-06-15 23:46:50.944	11m 40s	0ms	82.6%	1.5 MB	22.8 MB	109.7 KB	639 B
257	3b/4e8686	2491865	NFCORE_NANOPOREMETABARCODING:NANOPOREMETABARCODING:SEQKIT_AMPLICONS (LuthienR_Tab56_BerenF_Tab22_test)	COMPLETED	0	2025-06-15 23:45:25.760	13m 25s	5s	4.2%	48.8 MB	1.2 GB	117 KB	2.7 KB
252	36/fcb9c5	2491861	NFCORE_NANOPOREMETABARCODING:NANOPOREMETABARCODING:SEQKIT_AMPLICONS (LuthienR_Tab29_BerenF_Tab24_test)	COMPLETED	0	2025-06-15 23:45:15.545	13m 40s	11s	1.8%	51 MB	1.2 GB	142.8 KB	7 KB
259	d9/801669	2491875	NFCORE_NANOPOREMETABARCODING:NANOPOREMETABARCODING:SEQKIT_CONSENSUS (LuthienR_Tab39_BerenF_Tab22_test)	COMPLETED	0	2025-06-15 23:46:50.667	12m 5s	11s	2.2%	49.1 MB	1.2 GB	114 KB	638 B
308	2a/ce58d5	2491932	NFCORE_NANOPOREMETABARCODING:NANOPOREMETABARCODING:GUNZIP_SEQKIT_GREP_A (LuthienR_Tab34_BerenF_Tab47_test_0_0_amplicons.fa.gz)	COMPLETED	0	2025-06-15 23:51:25.584	7m 30s	3.4s	0.6%	2.2 MB	9.2 MB	104.7 KB	17.2 KB
245	de/2e790a	2491844	NFCORE_NANOPOREMETABARCODING:NANOPOREMETABARCODING:SEQKIT_AMPLICONS (LuthienR_Tab29_BerenF_Tab47_test)	COMPLETED	0	2025-06-15 23:42:55.788	16m 5s	11s	1.8%	14.6 MB	1.2 GB	209.9 KB	14.4 KB
249	c3/58bdd6	2491847	NFCORE_NANOPOREMETABARCODING:NANOPOREMETABARCODING:SEQKIT_CONSENSUS (LuthienR_Tab29_BerenF_Tab47_test)	COMPLETED	0	2025-06-15 23:44:05.543	14m 55s	11s	1.9%	50.6 MB	1.2 GB	154.1 KB	672 B
250	1a/e9839a	2491862	NFCORE_NANOPOREMETABARCODING:NANOPOREMETABARCODING:SEQKIT_CONSENSUS (LuthienR_Tab29_BerenF_Tab24_test)	COMPLETED	0	2025-06-15 23:45:15.670	13m 45s	10s	2.0%	15.2 MB	1.2 GB	114.8 KB	628 B
